"","kingdom","phylum","class","order","family","genus","species","abr_1_guild_level_2_AND","abr_2_guild_level_3_AND","abr_3_guild_level_4_AND","abr_4_guild_level_5_AND","abr_all_guild_level_AND","consumer","potential","interaction_matchName","resource_matchName"
"Flavobacterium aquidurense::Cluster_2073","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","Flavobacterium aquidurense","che_chemoheterotrophANDche_unassignedANDhet_unassignedANDmic_unassigned","che_unassignedANDuna_unassigned","una_unassigned","una_unassigned","che_che_una_una_unaANDche_una_una_una_unaANDhet_una_una_una_unaANDmic_una_una_una_una","untargeted","any","not observed","not observed"
"Flavobacterium johnsoniae::Cluster_126","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","Flavobacterium johnsoniae","che_chemoheterotrophANDche_unassignedANDhet_unassignedANDmic_unassigned","che_unassignedANDuna_unassigned","una_unassigned","una_unassigned","che_che_una_una_unaANDche_una_una_una_unaANDhet_una_una_una_unaANDmic_una_una_una_una","untargeted","any","not observed","not observed"
"Flavobacterium resistens::Cluster_1749","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","Flavobacterium resistens","che_chemoheterotrophANDche_unassignedANDhet_unassignedANDmic_unassigned","che_unassignedANDuna_unassigned","una_unassigned","una_unassigned","che_che_una_una_unaANDche_una_una_una_unaANDhet_una_una_una_unaANDmic_una_una_una_una","untargeted","any","not observed","not observed"
"Flavobacterium::Cluster_1016","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","unassigned","che_chemoheterotrophANDche_unassignedANDhet_unassignedANDmic_unassigned","che_unassignedANDuna_unassigned","una_unassigned","una_unassigned","che_che_una_una_unaANDche_una_una_una_unaANDhet_una_una_una_unaANDmic_una_una_una_una","untargeted","any","not observed","not observed"
"Flavobacterium::Cluster_1106","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","unassigned","che_chemoheterotrophANDche_unassignedANDhet_unassignedANDmic_unassigned","che_unassignedANDuna_unassigned","una_unassigned","una_unassigned","che_che_una_una_unaANDche_una_una_una_unaANDhet_una_una_una_unaANDmic_una_una_una_una","untargeted","any","not observed","not observed"
"Flavobacterium::Cluster_1116","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","unassigned","che_chemoheterotrophANDche_unassignedANDhet_unassignedANDmic_unassigned","che_unassignedANDuna_unassigned","una_unassigned","una_unassigned","che_che_una_una_unaANDche_una_una_una_unaANDhet_una_una_una_unaANDmic_una_una_una_una","untargeted","any","not observed","not observed"
"Flavobacterium::Cluster_1177","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","unassigned","che_chemoheterotrophANDche_unassignedANDhet_unassignedANDmic_unassigned","che_unassignedANDuna_unassigned","una_unassigned","una_unassigned","che_che_una_una_unaANDche_una_una_una_unaANDhet_una_una_una_unaANDmic_una_una_una_una","untargeted","any","not observed","not observed"
"Flavobacterium::Cluster_1361","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","unassigned","che_chemoheterotrophANDche_unassignedANDhet_unassignedANDmic_unassigned","che_unassignedANDuna_unassigned","una_unassigned","una_unassigned","che_che_una_una_unaANDche_una_una_una_unaANDhet_una_una_una_unaANDmic_una_una_una_una","untargeted","any","not observed","not observed"
"Flavobacterium::Cluster_1545","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","unassigned","che_chemoheterotrophANDche_unassignedANDhet_unassignedANDmic_unassigned","che_unassignedANDuna_unassigned","una_unassigned","una_unassigned","che_che_una_una_unaANDche_una_una_una_unaANDhet_una_una_una_unaANDmic_una_una_una_una","untargeted","any","not observed","not observed"
"Flavobacterium::Cluster_1567","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","unassigned","che_chemoheterotrophANDche_unassignedANDhet_unassignedANDmic_unassigned","che_unassignedANDuna_unassigned","una_unassigned","una_unassigned","che_che_una_una_unaANDche_una_una_una_unaANDhet_una_una_una_unaANDmic_una_una_una_una","untargeted","any","not observed","not observed"
"Flavobacterium::Cluster_169","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","unassigned","che_chemoheterotrophANDche_unassignedANDhet_unassignedANDmic_unassigned","che_unassignedANDuna_unassigned","una_unassigned","una_unassigned","che_che_una_una_unaANDche_una_una_una_unaANDhet_una_una_una_unaANDmic_una_una_una_una","untargeted","any","not observed","not observed"
"Flavobacterium::Cluster_1803","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","unassigned","che_chemoheterotrophANDche_unassignedANDhet_unassignedANDmic_unassigned","che_unassignedANDuna_unassigned","una_unassigned","una_unassigned","che_che_una_una_unaANDche_una_una_una_unaANDhet_una_una_una_unaANDmic_una_una_una_una","untargeted","any","not observed","not observed"
"Flavobacterium::Cluster_1987","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","unassigned","che_chemoheterotrophANDche_unassignedANDhet_unassignedANDmic_unassigned","che_unassignedANDuna_unassigned","una_unassigned","una_unassigned","che_che_una_una_unaANDche_una_una_una_unaANDhet_una_una_una_unaANDmic_una_una_una_una","untargeted","any","not observed","not observed"
"Flavobacterium::Cluster_202","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","unassigned","che_chemoheterotrophANDche_unassignedANDhet_unassignedANDmic_unassigned","che_unassignedANDuna_unassigned","una_unassigned","una_unassigned","che_che_una_una_unaANDche_una_una_una_unaANDhet_una_una_una_unaANDmic_una_una_una_una","untargeted","any","not observed","not observed"
"Flavobacterium::Cluster_2022","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","unassigned","che_chemoheterotrophANDche_unassignedANDhet_unassignedANDmic_unassigned","che_unassignedANDuna_unassigned","una_unassigned","una_unassigned","che_che_una_una_unaANDche_una_una_una_unaANDhet_una_una_una_unaANDmic_una_una_una_una","untargeted","any","not observed","not observed"
"Flavobacterium::Cluster_210","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","unassigned","che_chemoheterotrophANDche_unassignedANDhet_unassignedANDmic_unassigned","che_unassignedANDuna_unassigned","una_unassigned","una_unassigned","che_che_una_una_unaANDche_una_una_una_unaANDhet_una_una_una_unaANDmic_una_una_una_una","untargeted","any","not observed","not observed"
"Flavobacterium::Cluster_2188","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","unassigned","che_chemoheterotrophANDche_unassignedANDhet_unassignedANDmic_unassigned","che_unassignedANDuna_unassigned","una_unassigned","una_unassigned","che_che_una_una_unaANDche_una_una_una_unaANDhet_una_una_una_unaANDmic_una_una_una_una","untargeted","any","not observed","not observed"
"Flavobacterium::Cluster_2190","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","unassigned","che_chemoheterotrophANDche_unassignedANDhet_unassignedANDmic_unassigned","che_unassignedANDuna_unassigned","una_unassigned","una_unassigned","che_che_una_una_unaANDche_una_una_una_unaANDhet_una_una_una_unaANDmic_una_una_una_una","untargeted","any","not observed","not observed"
"Flavobacterium::Cluster_221","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","unassigned","che_chemoheterotrophANDche_unassignedANDhet_unassignedANDmic_unassigned","che_unassignedANDuna_unassigned","una_unassigned","una_unassigned","che_che_una_una_unaANDche_una_una_una_unaANDhet_una_una_una_unaANDmic_una_una_una_una","untargeted","any","not observed","not observed"
"Flavobacterium::Cluster_2304","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","unassigned","che_chemoheterotrophANDche_unassignedANDhet_unassignedANDmic_unassigned","che_unassignedANDuna_unassigned","una_unassigned","una_unassigned","che_che_una_una_unaANDche_una_una_una_unaANDhet_una_una_una_unaANDmic_una_una_una_una","untargeted","any","not observed","not observed"
"Flavobacterium::Cluster_239","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","unassigned","che_chemoheterotrophANDche_unassignedANDhet_unassignedANDmic_unassigned","che_unassignedANDuna_unassigned","una_unassigned","una_unassigned","che_che_una_una_unaANDche_una_una_una_unaANDhet_una_una_una_unaANDmic_una_una_una_una","untargeted","any","not observed","not observed"
"Flavobacterium::Cluster_2462","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","unassigned","che_chemoheterotrophANDche_unassignedANDhet_unassignedANDmic_unassigned","che_unassignedANDuna_unassigned","una_unassigned","una_unassigned","che_che_una_una_unaANDche_una_una_una_unaANDhet_una_una_una_unaANDmic_una_una_una_una","untargeted","any","not observed","not observed"
"Flavobacterium::Cluster_2726","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","unassigned","che_chemoheterotrophANDche_unassignedANDhet_unassignedANDmic_unassigned","che_unassignedANDuna_unassigned","una_unassigned","una_unassigned","che_che_una_una_unaANDche_una_una_una_unaANDhet_una_una_una_unaANDmic_una_una_una_una","untargeted","any","not observed","not observed"
"Flavobacterium::Cluster_2896","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","unassigned","che_chemoheterotrophANDche_unassignedANDhet_unassignedANDmic_unassigned","che_unassignedANDuna_unassigned","una_unassigned","una_unassigned","che_che_una_una_unaANDche_una_una_una_unaANDhet_una_una_una_unaANDmic_una_una_una_una","untargeted","any","not observed","not observed"
"Flavobacterium::Cluster_292","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","unassigned","che_chemoheterotrophANDche_unassignedANDhet_unassignedANDmic_unassigned","che_unassignedANDuna_unassigned","una_unassigned","una_unassigned","che_che_una_una_unaANDche_una_una_una_unaANDhet_una_una_una_unaANDmic_una_una_una_una","untargeted","any","not observed","not observed"
"Flavobacterium::Cluster_30","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","unassigned","che_chemoheterotrophANDche_unassignedANDhet_unassignedANDmic_unassigned","che_unassignedANDuna_unassigned","una_unassigned","una_unassigned","che_che_una_una_unaANDche_una_una_una_unaANDhet_una_una_una_unaANDmic_una_una_una_una","untargeted","any","not observed","not observed"
"Flavobacterium::Cluster_3006","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","unassigned","che_chemoheterotrophANDche_unassignedANDhet_unassignedANDmic_unassigned","che_unassignedANDuna_unassigned","una_unassigned","una_unassigned","che_che_una_una_unaANDche_una_una_una_unaANDhet_una_una_una_unaANDmic_una_una_una_una","untargeted","any","not observed","not observed"
"Flavobacterium::Cluster_3008","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","unassigned","che_chemoheterotrophANDche_unassignedANDhet_unassignedANDmic_unassigned","che_unassignedANDuna_unassigned","una_unassigned","una_unassigned","che_che_una_una_unaANDche_una_una_una_unaANDhet_una_una_una_unaANDmic_una_una_una_una","untargeted","any","not observed","not observed"
"Flavobacterium::Cluster_341","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","unassigned","che_chemoheterotrophANDche_unassignedANDhet_unassignedANDmic_unassigned","che_unassignedANDuna_unassigned","una_unassigned","una_unassigned","che_che_una_una_unaANDche_una_una_una_unaANDhet_una_una_una_unaANDmic_una_una_una_una","untargeted","any","not observed","not observed"
"Flavobacterium::Cluster_350","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","unassigned","che_chemoheterotrophANDche_unassignedANDhet_unassignedANDmic_unassigned","che_unassignedANDuna_unassigned","una_unassigned","una_unassigned","che_che_una_una_unaANDche_una_una_una_unaANDhet_una_una_una_unaANDmic_una_una_una_una","untargeted","any","not observed","not observed"
"Flavobacterium::Cluster_3600","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","unassigned","che_chemoheterotrophANDche_unassignedANDhet_unassignedANDmic_unassigned","che_unassignedANDuna_unassigned","una_unassigned","una_unassigned","che_che_una_una_unaANDche_una_una_una_unaANDhet_una_una_una_unaANDmic_una_una_una_una","untargeted","any","not observed","not observed"
"Flavobacterium::Cluster_361","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","unassigned","che_chemoheterotrophANDche_unassignedANDhet_unassignedANDmic_unassigned","che_unassignedANDuna_unassigned","una_unassigned","una_unassigned","che_che_una_una_unaANDche_una_una_una_unaANDhet_una_una_una_unaANDmic_una_una_una_una","untargeted","any","not observed","not observed"
"Flavobacterium::Cluster_377","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","unassigned","che_chemoheterotrophANDche_unassignedANDhet_unassignedANDmic_unassigned","che_unassignedANDuna_unassigned","una_unassigned","una_unassigned","che_che_una_una_unaANDche_una_una_una_unaANDhet_una_una_una_unaANDmic_una_una_una_una","untargeted","any","not observed","not observed"
"Flavobacterium::Cluster_4150","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","unassigned","che_chemoheterotrophANDche_unassignedANDhet_unassignedANDmic_unassigned","che_unassignedANDuna_unassigned","una_unassigned","una_unassigned","che_che_una_una_unaANDche_una_una_una_unaANDhet_una_una_una_unaANDmic_una_una_una_una","untargeted","any","not observed","not observed"
"Flavobacterium::Cluster_441","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","unassigned","che_chemoheterotrophANDche_unassignedANDhet_unassignedANDmic_unassigned","che_unassignedANDuna_unassigned","una_unassigned","una_unassigned","che_che_una_una_unaANDche_una_una_una_unaANDhet_una_una_una_unaANDmic_una_una_una_una","untargeted","any","not observed","not observed"
"Flavobacterium::Cluster_4911","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","unassigned","che_chemoheterotrophANDche_unassignedANDhet_unassignedANDmic_unassigned","che_unassignedANDuna_unassigned","una_unassigned","una_unassigned","che_che_una_una_unaANDche_una_una_una_unaANDhet_una_una_una_unaANDmic_una_una_una_una","untargeted","any","not observed","not observed"
"Flavobacterium::Cluster_499","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","unassigned","che_chemoheterotrophANDche_unassignedANDhet_unassignedANDmic_unassigned","che_unassignedANDuna_unassigned","una_unassigned","una_unassigned","che_che_una_una_unaANDche_una_una_una_unaANDhet_una_una_una_unaANDmic_una_una_una_una","untargeted","any","not observed","not observed"
"Flavobacterium::Cluster_523","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","unassigned","che_chemoheterotrophANDche_unassignedANDhet_unassignedANDmic_unassigned","che_unassignedANDuna_unassigned","una_unassigned","una_unassigned","che_che_una_una_unaANDche_una_una_una_unaANDhet_una_una_una_unaANDmic_una_una_una_una","untargeted","any","not observed","not observed"
"Flavobacterium::Cluster_5561","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","unassigned","che_chemoheterotrophANDche_unassignedANDhet_unassignedANDmic_unassigned","che_unassignedANDuna_unassigned","una_unassigned","una_unassigned","che_che_una_una_unaANDche_una_una_una_unaANDhet_una_una_una_unaANDmic_una_una_una_una","untargeted","any","not observed","not observed"
"Flavobacterium::Cluster_571","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","unassigned","che_chemoheterotrophANDche_unassignedANDhet_unassignedANDmic_unassigned","che_unassignedANDuna_unassigned","una_unassigned","una_unassigned","che_che_una_una_unaANDche_una_una_una_unaANDhet_una_una_una_unaANDmic_una_una_una_una","untargeted","any","not observed","not observed"
"Flavobacterium::Cluster_600","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","unassigned","che_chemoheterotrophANDche_unassignedANDhet_unassignedANDmic_unassigned","che_unassignedANDuna_unassigned","una_unassigned","una_unassigned","che_che_una_una_unaANDche_una_una_una_unaANDhet_una_una_una_unaANDmic_una_una_una_una","untargeted","any","not observed","not observed"
"Flavobacterium::Cluster_604","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","unassigned","che_chemoheterotrophANDche_unassignedANDhet_unassignedANDmic_unassigned","che_unassignedANDuna_unassigned","una_unassigned","una_unassigned","che_che_una_una_unaANDche_una_una_una_unaANDhet_una_una_una_unaANDmic_una_una_una_una","untargeted","any","not observed","not observed"
"Flavobacterium::Cluster_636","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","unassigned","che_chemoheterotrophANDche_unassignedANDhet_unassignedANDmic_unassigned","che_unassignedANDuna_unassigned","una_unassigned","una_unassigned","che_che_una_una_unaANDche_una_una_una_unaANDhet_una_una_una_unaANDmic_una_una_una_una","untargeted","any","not observed","not observed"
"Flavobacterium::Cluster_693","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","unassigned","che_chemoheterotrophANDche_unassignedANDhet_unassignedANDmic_unassigned","che_unassignedANDuna_unassigned","una_unassigned","una_unassigned","che_che_una_una_unaANDche_una_una_una_unaANDhet_una_una_una_unaANDmic_una_una_una_una","untargeted","any","not observed","not observed"
"Flavobacterium::Cluster_708","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","unassigned","che_chemoheterotrophANDche_unassignedANDhet_unassignedANDmic_unassigned","che_unassignedANDuna_unassigned","una_unassigned","una_unassigned","che_che_una_una_unaANDche_una_una_una_unaANDhet_una_una_una_unaANDmic_una_una_una_una","untargeted","any","not observed","not observed"
"Flavobacterium::Cluster_79","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","unassigned","che_chemoheterotrophANDche_unassignedANDhet_unassignedANDmic_unassigned","che_unassignedANDuna_unassigned","una_unassigned","una_unassigned","che_che_una_una_unaANDche_una_una_una_unaANDhet_una_una_una_unaANDmic_una_una_una_una","untargeted","any","not observed","not observed"
"Flavobacterium::Cluster_84","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","unassigned","che_chemoheterotrophANDche_unassignedANDhet_unassignedANDmic_unassigned","che_unassignedANDuna_unassigned","una_unassigned","una_unassigned","che_che_una_una_unaANDche_una_una_una_unaANDhet_una_una_una_unaANDmic_una_una_una_una","untargeted","any","not observed","not observed"
"Flavobacterium::Cluster_907","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","unassigned","che_chemoheterotrophANDche_unassignedANDhet_unassignedANDmic_unassigned","che_unassignedANDuna_unassigned","una_unassigned","una_unassigned","che_che_una_una_unaANDche_una_una_una_unaANDhet_una_una_una_unaANDmic_una_una_una_una","untargeted","any","not observed","not observed"
"Flavobacterium::Cluster_96","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","unassigned","che_chemoheterotrophANDche_unassignedANDhet_unassignedANDmic_unassigned","che_unassignedANDuna_unassigned","una_unassigned","una_unassigned","che_che_una_una_unaANDche_una_una_una_unaANDhet_una_una_una_unaANDmic_una_una_una_una","untargeted","any","not observed","not observed"
"Gaiella::Cluster_103","Bacteria","Actinobacteriota","Thermoleophilia","Gaiellales","Gaiellaceae","Gaiella","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","untargeted","any","not observed","not observed"
"Gaiella::Cluster_113","Bacteria","Actinobacteriota","Thermoleophilia","Gaiellales","Gaiellaceae","Gaiella","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","untargeted","any","not observed","not observed"
"Gaiella::Cluster_369","Bacteria","Actinobacteriota","Thermoleophilia","Gaiellales","Gaiellaceae","Gaiella","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","untargeted","any","not observed","not observed"
"Gaiella::Cluster_411","Bacteria","Actinobacteriota","Thermoleophilia","Gaiellales","Gaiellaceae","Gaiella","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","untargeted","any","not observed","not observed"
"Gaiella::Cluster_521","Bacteria","Actinobacteriota","Thermoleophilia","Gaiellales","Gaiellaceae","Gaiella","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","untargeted","any","not observed","not observed"
"Gaiella::Cluster_752","Bacteria","Actinobacteriota","Thermoleophilia","Gaiellales","Gaiellaceae","Gaiella","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","untargeted","any","not observed","not observed"
"Gaiella::Cluster_926","Bacteria","Actinobacteriota","Thermoleophilia","Gaiellales","Gaiellaceae","Gaiella","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","untargeted","any","not observed","not observed"
"Gaiellales::Cluster_1006","Bacteria","Actinobacteriota","Thermoleophilia","Gaiellales","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","untargeted","any","not observed","not observed"
"Gaiellales::Cluster_1154","Bacteria","Actinobacteriota","Thermoleophilia","Gaiellales","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","untargeted","any","not observed","not observed"
"Gaiellales::Cluster_1266","Bacteria","Actinobacteriota","Thermoleophilia","Gaiellales","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","untargeted","any","not observed","not observed"
"Gaiellales::Cluster_1541","Bacteria","Actinobacteriota","Thermoleophilia","Gaiellales","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","untargeted","any","not observed","not observed"
"Gaiellales::Cluster_162","Bacteria","Actinobacteriota","Thermoleophilia","Gaiellales","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","untargeted","any","not observed","not observed"
"Gaiellales::Cluster_1692","Bacteria","Actinobacteriota","Thermoleophilia","Gaiellales","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","untargeted","any","not observed","not observed"
"Gaiellales::Cluster_1931","Bacteria","Actinobacteriota","Thermoleophilia","Gaiellales","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","untargeted","any","not observed","not observed"
"Gaiellales::Cluster_1996","Bacteria","Actinobacteriota","Thermoleophilia","Gaiellales","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","untargeted","any","not observed","not observed"
"Gaiellales::Cluster_219","Bacteria","Actinobacteriota","Thermoleophilia","Gaiellales","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","untargeted","any","not observed","not observed"
"Gaiellales::Cluster_252","Bacteria","Actinobacteriota","Thermoleophilia","Gaiellales","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","untargeted","any","not observed","not observed"
"Gaiellales::Cluster_2694","Bacteria","Actinobacteriota","Thermoleophilia","Gaiellales","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","untargeted","any","not observed","not observed"
"Gaiellales::Cluster_324","Bacteria","Actinobacteriota","Thermoleophilia","Gaiellales","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","untargeted","any","not observed","not observed"
"Gaiellales::Cluster_5142","Bacteria","Actinobacteriota","Thermoleophilia","Gaiellales","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","untargeted","any","not observed","not observed"
"Gaiellales::Cluster_632","Bacteria","Actinobacteriota","Thermoleophilia","Gaiellales","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","untargeted","any","not observed","not observed"
"Gaiellales::Cluster_771","Bacteria","Actinobacteriota","Thermoleophilia","Gaiellales","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","untargeted","any","not observed","not observed"
"Gaiellales::Cluster_814","Bacteria","Actinobacteriota","Thermoleophilia","Gaiellales","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","untargeted","any","not observed","not observed"
"Gammaproteobacteria Incertae Sedis::Cluster_2920","Bacteria","Proteobacteria","Gammaproteobacteria","Gammaproteobacteria Incertae Sedis","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","untargeted","any","not observed","not observed"
"Gammaproteobacteria::Cluster_189","Bacteria","Proteobacteria","Gammaproteobacteria","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","untargeted","any","not observed","not observed"
"Gammaproteobacteria::Cluster_7324","Bacteria","Proteobacteria","Gammaproteobacteria","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","untargeted","any","not observed","not observed"
"Gemmatimonadaceae::Cluster_1002","Bacteria","Gemmatimonadota","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","untargeted","any","not observed","not observed"
"Gemmatimonadaceae::Cluster_1060","Bacteria","Gemmatimonadota","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","untargeted","any","not observed","not observed"
"Gemmatimonadaceae::Cluster_1165","Bacteria","Gemmatimonadota","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","untargeted","any","not observed","not observed"
"Gemmatimonadaceae::Cluster_1592","Bacteria","Gemmatimonadota","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","untargeted","any","not observed","not observed"
"Gemmatimonadaceae::Cluster_1622","Bacteria","Gemmatimonadota","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","untargeted","any","not observed","not observed"
"Gemmatimonadaceae::Cluster_2353","Bacteria","Gemmatimonadota","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","untargeted","any","not observed","not observed"
"Gemmatimonadaceae::Cluster_2366","Bacteria","Gemmatimonadota","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","untargeted","any","not observed","not observed"
"Gemmatimonadaceae::Cluster_274","Bacteria","Gemmatimonadota","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","untargeted","any","not observed","not observed"
"Gemmatimonadaceae::Cluster_308","Bacteria","Gemmatimonadota","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","untargeted","any","not observed","not observed"
